relative_path,folder,file_name,attack_binary
Two AGC System Data\Disturbance in Area1_Pulse\Data1P00001.csv,Two AGC System Data\Disturbance in Area1_Pulse,Data1P00001.csv,0
Two AGC System Data\Disturbance in Area1_Pulse\Data1P00002.csv,Two AGC System Data\Disturbance in Area1_Pulse,Data1P00002.csv,0
Two AGC System Data\Disturbance in Area1_Pulse\Data1P00003.csv,Two AGC System Data\Disturbance in Area1_Pulse,Data1P00003.csv,0
Two AGC System Data\Disturbance in Area1_Pulse\Data1P00004.csv,Two AGC System Data\Disturbance in Area1_Pulse,Data1P00004.csv,0
Two AGC System Data\Disturbance in Area1_Pulse\Data1P00005.csv,Two AGC System Data\Disturbance in Area1_Pulse,Data1P00005.csv,0
Two AGC System Data\Disturbance in Area1_Pulse\Data1P00006.csv,Two AGC System Data\Disturbance in Area1_Pulse,Data1P00006.csv,0
Two AGC System Data\Disturbance in Area1_Pulse\Data1P00007.csv,Two AGC System Data\Disturbance in Area1_Pulse,Data1P00007.csv,0
Two AGC System Data\Disturbance in Area1_Pulse\Data1P00008.csv,Two AGC System Data\Disturbance in Area1_Pulse,Data1P00008.csv,0
Two AGC System Data\Disturbance in Area1_Pulse\Data1P00009.csv,Two AGC System Data\Disturbance in Area1_Pulse,Data1P00009.csv,0
Two AGC System Data\Disturbance in Area1_Pulse\Data1P00010.csv,Two AGC System Data\Disturbance in Area1_Pulse,Data1P00010.csv,0
Two AGC System Data\Disturbance in Area1_Pulse\Data1P00011.csv,Two AGC System Data\Disturbance in Area1_Pulse,Data1P00011.csv,0
Two AGC System Data\Disturbance in Area1_Pulse\Data1P00012.csv,Two AGC System Data\Disturbance in Area1_Pulse,Data1P00012.csv,0
Two AGC System Data\Disturbance in Area1_Pulse\Data1P00013.csv,Two AGC System Data\Disturbance in Area1_Pulse,Data1P00013.csv,0
Two AGC System Data\Disturbance in Area1_Pulse\Data1P00014.csv,Two AGC System Data\Disturbance in Area1_Pulse,Data1P00014.csv,0
Two AGC System Data\Disturbance in Area1_Pulse\Data1P00015.csv,Two AGC System Data\Disturbance in Area1_Pulse,Data1P00015.csv,0
Two AGC System Data\Disturbance in Area1_Pulse\Data1P00016.csv,Two AGC System Data\Disturbance in Area1_Pulse,Data1P00016.csv,0
Two AGC System Data\Disturbance in Area1_Pulse\Data1P00017.csv,Two AGC System Data\Disturbance in Area1_Pulse,Data1P00017.csv,0
